Authors;Title;Link;Abstract;Author Keywords
Leal F., Musicante M.A.;Using SLA to guide database transition to NoSQL on the cloud: A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980368666&partnerID=40&md5=f41b2693e4cf36d4e0115e980faae69d;Cloud computing became a reality, and many companies are now moving their data-centers to the cloud. A concept that is often linked with cloud computing is Infrastructure as a Service (IaaS): the computational infrastructure of a company can now be seen as a monthly cost instead of a number of different factors. Recently, a large number of organizations started to replace their relational databases with hybrid solutions (NoSQL DBs, Search Engines, ORDBs). These changes are motivated by (i) performance improvements on the overall performance of the applications and (ii) inability to a RDBMS to provide the same performance of a hybrid solution given a fixed monthly infrastructure cost. However, not always the companies can exactly measure beforehand the future impact on the performance on their services by making this sort of technological changes (replace RDBMS by another solution). The goal of this systematic mapping study is to investigate the use of Service-Level-Agreements (SLAs) on database-transitioning scenarios and to verify how SLAs can be used in this processes. © 2015 IEEE.;NoSQL, Systematic Mapping, Transition to Cloud
Carvalho R.M., de Castro Andrade R.M., de Oliveira K.M., de Sousa Santos I., Bezerra C.I.M.;Quality characteristics and measures for human–computer interaction evaluation in ubiquitous systems;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978086996&partnerID=40&md5=682e1b269f02f1c6ef90d9b9dac4dfb1;The advent of ubiquitous systems places even more focus on users, since these systems must support their daily activities in such a transparent way that does not disturb them. Thus, much more attention should be provided to human–computer interaction (HCI) and, as a consequence, to its quality. Dealing with quality issues implies first the identification of the quality characteristics that should be achieved and, then, which software measures should be used to evaluate them in a target system. Therefore, this work aims to identify what quality characteristics and measures have been used for the HCI evaluation of ubiquitous systems. In order to achieve our goal, we performed a large literature review, using a systematic mapping study, and we present our results in this paper. We identified 41 pertinent papers that were deeply analyzed to extract quality characteristics and software measures. We found 186 quality characteristics, but since there were divergences on their definitions and duplicated characteristics, an analysis of synonyms by peer review based on the equivalence of definitions was also done. This analysis allowed us to define a final suitable set composed of 27 quality characteristics, where 21 are generic to any system but are particularized for ubiquitous applications and 6 are specific for this domain. We also found 218 citations of measures associated with the characteristics, although the majority of them are simple definitions with no detail about their measurement functions. Our results provide not only an overview of this area to guide researchers in directing their efforts but also it can help practitioners in evaluating ubiquitous systems using these measures. © 2016 Springer Science+Business Media New York;Human–computer interaction, Quality characteristics, Quality model, Software measures, Systematic mapping study, Ubiquitous systems
Parreira P.A., Penteado R.A.D.;Domain ontologies in the context of Requirements Engineering;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980396125&partnerID=40&md5=abf0afa726638ecbe81a48f0861782e1;Context: obtaining accurate information about the problem domain for which the software is being developed is one of most important and difficult activity of the Requirements Engineering (RE). One of the strategies to deal with problem domain concepts and their relationships is the usage of domain ontologies. However, there are not studies in the literature that describe which ontology-based approaches exist and how they have been applied in the RE context. Goal: this paper aims to identify, understand and catalog existing primary studies in the literature regarding to this subject. Method: for this, a Systematic Mapping was conducted and sixty-seven studies were analyzed and cataloged. Some results are: (i) there are five main ways of using ontologies in the context of RE and they are related to 'Requirements Elicitation', 'Requirements Analysis', 'Requirements Verification', 'Conflict Identification and Analysis' and 'Unification among requirements formalisms', (ii) there are few evaluation studies about this subject, among others. © 2015 IEEE.;Domain Ontologies, Literature Review, Requirements Engineering, Software Engineering, Systematic Mapping
Zein S., Salleh N., Grundy J.;A systematic mapping study of mobile application testing techniques;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963641809&partnerID=40&md5=76dba7bb0f8605cbc0fd95a05873dca4;The importance of mobile application specific testing techniques and methods has been attracting much attention of software engineers over the past few years. This is due to the fact that mobile applications are different than traditional web and desktop applications, and more and more they are moving to being used in critical domains. Mobile applications require a different approach to application quality and dependability and require an effective testing approach to build high quality and more reliable software. We performed a systematic mapping study to categorize and to structure the research evidence that has been published in the area of mobile application testing techniques and challenges that they have reported. Seventy nine (79) empirical studies are mapped to a classification schema. Several research gaps are identified and specific key testing issues for practitioners are identified: there is a need for eliciting testing requirements early during development process, the need to conduct research in real-world development environments, specific testing techniques targeting application life-cycle conformance and mobile services testing, and comparative studies for security and usability testing. © 2016 Elsevier Inc. All rights reserved.;Mobile application testing, Software testing, Systematic mapping
García S., Romero O., Raventós R.;DSS from an RE Perspective: A systematic mapping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964284186&partnerID=40&md5=a46812190d72988c78fc1a726b3a9a5f;Decision support systems (DSS) provide a unified analytical view of business data to better support decision-making processes. Such systems have shown a high level of user satisfaction and return on investment. However, several surveys stress the high failure rate of DSS projects. This problem results from setting the wrong requirements by approaching DSS in the same way as operational systems, whereas a specific approach is needed. Although this is well-known, there is still a surprising gap on how to address requirements engineering (RE) for DSS. To overcome this problem, we conducted a systematic mapping study to identify and classify the literature on DSS from an RE perspective. Twenty-seven primary studies that addressed the main stages of RE were selected, mapped, and classified into 39 models, 27 techniques, and 54 items of guidance. We have also identified a gap in the literature on how to design the DSS main constructs (typically, the data warehouse and data flows) in a methodological manner from the business needs. We believe this study will help practitioners better address the RE stages of DSS projects. © 2016 Elsevier Inc. All rights reserved.;Business intelligence, Decision support systems, Requirements engineering
Asaadi E., Wilke D.N., Heyns P.S., Kok S.;The use of direct inverse maps to solve material identification problems: pitfalls and solutions;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976511508&partnerID=40&md5=26f6f896a586e81041ea2490a3bf6d80;Material parameter identification is a technique that is used to calibrate material models, often a precursor to perform an industrial analysis. Conventional material parameter identification methods estimate the material parameters for a material model by solving an optimisation problem. An alternative but lesser-known approach, called a direct inverse map, directly maps the measured response to the parameters of a material model. In this study we investigate the potential pitfalls of the well-known stochastic noise and lesser-known model errors when constructing direct inverse maps. We show how to address these problems, explaining in particular the importance of projecting the measured response onto the domain of the simulated responses before mapping it to the material parameters. This paper concludes by proposing partial least squares regression as an elegant and computationally efficient approach to address stochastic and systematic (model) errors. This paper also gives insight into the nature of the inverse problem under consideration. © 2016 Springer-Verlag Berlin Heidelberg;Inverse mapping, Inverse problem, Material parameter identification, Partial least squares regression, Principal component analysis, Radial basis function approximation
Nguyen T., Colman A., Han J.;A feature-based framework for developing and provisioning customizable web services;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982084415&partnerID=40&md5=7691f705e77565d1d774b4a772439477;A customizable web service is a service that enables service consumers to dynamically determine variants of the service they receive. Provisioning customizable services helps to efficiently address functional variability in customer requirements. However, this is challenging due to: i) the complexity in deriving the right subset of service capabilities for a service variant and ii) the existence of a large number of variants and their dependencies. We propose a feature-based framework to tackle this challenge. In our framework, a feature model is used to capture functional variability in customer requirements at a high-level of abstraction and to provide customers with a much simpler way to customize an atomic service. A service engineering process is designed to facilitate the systematic identification and implementation of variability during service development, and to maintain the mapping between variabilities at the feature modeling level and the service implementation level. We define a generative middleware that supports service deployment and exploits the mapping to enable runtime service customization. A large scale case study based on the Amazon web services is used for evaluation. In addition to addressing the challenge in provisioning customizable services, our experiments show that the generative middleware helps to reduce runtime resource consumption. © 2008-2012 IEEE.;Feature modeling, Service customization, Service middleware, Web services
Rahman M.M.;A soft image representation approach by exploiting local neighborhood structure of self-organizing map (SOM);https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975705243&partnerID=40&md5=0c445ea2f1650518bd92ac16e2cecda2;When images are described with visual words based on vector quantization of low-level color, texture, and edge-related visual features of image regions, it is usually referred as “bag-of-visual words (BoVW)”-based presentation. Although it has proved to be effective for image representation similar to document representation in text retrieval, the hard image encoding approach based on one-to-one mapping of regions to visual words is not expressive enough to characterize the image contents with higher level semantics and prone to quantization error. Each word is considered independent of all the words in this model. However, it is found that the words are related and their similarity of occurrence in documents can reflect the underlying semantic relations between them. To consider this, a soft image representation scheme is proposed by spreading each region’s membership values through a local fuzzy membership function in a neighborhood to all the words in a codebook generated by self-organizing map (SOM). The topology preserving property of the SOM map is exploited to generate a local membership function. A systematic evaluation of retrieval results of the proposed soft representation on two different image (natural photographic and medical) collections has shown significant improvement in precision at different recall levels when compared to different low-level and “BoVW”-based feature that consider only probability of occurrence (or presence/absence) of a word. © 2015, Springer-Verlag Berlin Heidelberg.;Clustering, Content-based image retrieval, Fuzzy system, Self-organizing map, Soft image annotation
Nascimento A.M., Silveira D.S.D.;A systematic mapping study on using social media for business process improvement;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993124323&partnerID=40&md5=a108584796c5bb1462a798ac931c104c;Studies involving social media have focused on analyzing how companies can propagate information or how the social media tools can affect user behavior. Few studies have paid attention to User-Generated Content and its application to the improvement of business processes, even though there has been an increase in reported cases in recent years. Through a systematic mapping study of the Ebsco ® database, we looked for articles that addressed this issue of user-generated content since its first appearance of up to 2015. In a first view, we confirmed the paucity of research related to this theme, even with the large increase of social media studies. As findings, we identified some important research trends towards public organizations using the content created by citizens to improve public services, as well as companies using social media tools to improve innovation processes. On the other hand, we identified gaps in the research, such as in journalism, engaging readers as information providers, and social media, being used for the improvement of the e-learning process. © 2016 Elsevier Ltd.;Business process improvement, Social media, Systematic mapping study, User-created content, User-generated content
Jia C., Cai Y., Yu Y.T., Tse T.H.;5W+1H pattern: A perspective of systematic mapping studies and a case study on cloud software testing;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923328222&partnerID=40&md5=ab9586291eb660686744b0d525513668;A common type of study used by researchers to map out the landscape of a research topic is known as mapping study. Such a study typically begins with an exploratory search on the possible ideas of the research topic, which is often done in an unsystematic manner. Hence, the activity of formulating research questions in mapping studies is ill-defined, rendering it difficult for researchers who are new to the topic. There is a need to guide them kicking off a mapping study of an unfamiliar domain. This paper proposes a 5W+1H pattern to help investigators systematically examine a generic set of dimensions in a mapping study toward the formulation of research questions before identifying, reading, and analyzing sufficient articles of the topic. We have validated the feasibility of our proposal by conducting a case study of a mapping study on cloud software testing, that is, software testing for and on cloud computing platforms. The case study reveals that the 5W+1H pattern can lead investigators to define a set of systematic, generic, and complementary research questions, enabling them to kick off and expedite the mapping study process in a well-defined manner. We also share our experiences and lessons learned from our case study on the use of the 5W+1H pattern in mapping studies. © 2015 Elsevier Inc. All rights reserved.;5W+1H pattern, Cloud software testing, Systematic mapping study
Wnuk K., Kollu R.K.;A systematic mapping study on requirements scoping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978519663&partnerID=40&md5=a6de646b9e424513eadcf3ff2b01c274;Context: Requirements scoping is one of the key activities in requirements management but also a major risk for project management. Continuously changing scope may create a congestion state in handling the requirements inflow which causes negative consequences, e.g. delays or scope creep. Objectives: In this paper, we look at requirements scoping literature outside Software Product Line (SPL) by exploring the current literature on the phenomenon, summarizing publication trends, performing thematic analysis and analyzing the strength of the evidence in the light of rigor and relevance assessment. Method: We run a Systematic Mapping Study (SMS) using snowballing procedure, supported by a database search for the start set identification, and identified 21 primary studies and 2 secondary studies. Results: The research interest in this area steadily increases and includes mainly case studies, validation or evaluation studies. The results were categorized into four themes: definitions, negative effects associated with scoping, challenges and identified methods/tools. The identified scope management techniques are also matched against the identified requirements scoping challenges. © 2016 ACM.;Requirements scoping, Snowballing, Systematic mapping study
Souag A., Mazo R., Salinesi C., Comyn-Wattiau I.;Reusable knowledge in security requirements engineering: a systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923384532&partnerID=40&md5=6bf7d9df115be5f72d6b912c4bdce0a0;Security is a concern that must be taken into consideration starting from the early stages of system development. Over the last two decades, researchers and engineers have developed a considerable number of methods for security requirements engineering. Some of them rely on the (re)use of security knowledge. Despite some existing surveys about security requirements engineering, there is not yet any reference for researchers and practitioners that presents in a systematic way the existing proposals, techniques, and tools related to security knowledge reuse in security requirements engineering. The aim of this paper is to fill this gap by looking into drawing a picture of the literature on knowledge and reuse in security requirements engineering. The questions we address are related to methods, techniques, modeling frameworks, and tools for and by reuse in security requirements engineering. We address these questions through a systematic mapping study. The mapping study was a literature review conducted with the goal of identifying, analyzing, and categorizing state-of-the-art research on our topic. This mapping study analyzes more than thirty approaches, covering 20 years of research in security requirements engineering. The contributions can be summarized as follows: (1) A framework was defined for analyzing and comparing the different proposals as well as categorizing future contributions related to knowledge reuse and security requirements engineering, (2) the different forms of knowledge representation and reuse were identified, and (3) previous surveys were updated. We conclude that most methods should introduce more reusable knowledge to manage security requirements. © 2015, Springer-Verlag London.;Knowledge, Ontologies, Patterns, Reusability, Security requirements, Templates
